umaban,horse_name,tansho_odds,surface,distance_m,last10_1,last10_2,last10_3,last10_4,last10_5,last10_6,last10_7,last10_8,last10_9,last10_10,notes
1,TBD_1,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
2,TBD_2,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
3,TBD_3,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
4,TBD_4,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
5,TBD_5,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
6,TBD_6,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
7,TBD_7,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
8,TBD_8,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
9,TBD_9,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
10,TBD_10,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
11,TBD_11,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
12,TBD_12,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
13,TBD_13,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
14,TBD_14,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
15,TBD_15,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
16,TBD_16,,芝,1200,,,,,,,,,,,2026-02-28 中山11R オーシャンS（入力待ち）
